[2025-05-31 17:26:03] TOP 1 | beefy | NOICE-WETH | TVL $30,528.00 | APR 138,013.21% | Score 41,403.96
[2025-05-31 17:26:03] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-31 17:26:03] TOP 3 | berapaw | BULLISHV2 | TVL $28,784.00 | APR 28,862.79% | Score 8,658.84
[2025-05-31 17:28:37] 📅 Nouvelle analyse lancée
[2025-05-31 17:28:37] 🔧 Profil utilisé : modéré (APR 0.3, TVL 0.2)
[2025-05-31 17:28:38] beefy | NOICE-WETH | TVL $30,528.00 | APR 138,013.21% | Score 41,403.96
[2025-05-31 17:40:03] [POOL] aerodrome-slipstream | VIRTUAL-WETH | TVL $766,129.00 | APR 183.67% | Score 55.10
[2025-05-31 17:40:03] [POOL] merkl | WETH-XPUFETH | TVL $765,869.00 | APR 14.02% | Score 4.21
[2025-05-31 17:40:03] [POOL] raydium-amm | WSOL-RNT | TVL $765,715.00 | APR 4.88% | Score 1.46
[2025-05-31 17:40:03] [POOL] ston.fi | NOT-USD₮ | TVL $764,494.00 | APR 25.51% | Score 7.65
[2025-05-31 17:40:03] [POOL] convex-finance | FRAX-USDC | TVL $764,250.00 | APR 10.05% | Score 3.01
[2025-05-31 17:40:03] [POOL] bex | WIZZ-WBERA | TVL $763,636.00 | APR 170.44% | Score 51.13
[2025-05-31 17:40:03] [POOL] uniswap-v3 | CHAOS-WETH | TVL $763,228.00 | APR 9.40% | Score 2.82
[2025-05-31 17:40:03] [POOL] berapaw | 50WIZZ-50WBERA-WEIGHTED | TVL $762,982.00 | APR 200.52% | Score 60.16
[2025-05-31 17:40:03] [POOL] silo-v2 | USDC.E | TVL $762,291.00 | APR 3.20% | Score 0.96
[2025-05-31 17:40:03] [POOL] uniswap-v2 | RENZEC-WETH | TVL $762,117.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] joe-v2.1 | WAVAX-USDC | TVL $761,159.00 | APR 12.66% | Score 3.80
[2025-05-31 17:40:03] [POOL] orca | TRUMP-USDC | TVL $760,971.00 | APR 31.72% | Score 9.52
[2025-05-31 17:40:03] [POOL] sovryn-dex | BNB-RBTC | TVL $760,669.00 | APR 0.14% | Score 0.04
[2025-05-31 17:40:03] [POOL] uniswap-v3 | PENDLE-WETH | TVL $760,314.00 | APR 61.05% | Score 18.31
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-RSC | TVL $759,042.00 | APR 43.50% | Score 13.05
[2025-05-31 17:40:03] [POOL] aerodrome-slipstream | GIZA-USDC | TVL $758,722.00 | APR 587.90% | Score 176.37
[2025-05-31 17:40:03] [POOL] curve-dex | WETH-RETH | TVL $758,720.00 | APR 4.40% | Score 1.32
[2025-05-31 17:40:03] [POOL] compound-v3 | UNI | TVL $758,487.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] uniswap-v3 | USDC-WETH | TVL $758,413.00 | APR 11.70% | Score 3.51
[2025-05-31 17:40:03] [POOL] uniswap-v3 | QNT-WETH | TVL $757,813.00 | APR 43.51% | Score 13.05
[2025-05-31 17:40:03] [POOL] sturdy-v2 | CRVUSD | TVL $757,356.00 | APR 9.10% | Score 2.73
[2025-05-31 17:40:03] [POOL] morpho-blue | RETH | TVL $757,017.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-SERV | TVL $755,410.00 | APR 48.48% | Score 14.54
[2025-05-31 17:40:03] [POOL] mendi-finance | WSTETH | TVL $755,308.00 | APR 2.07% | Score 0.62
[2025-05-31 17:40:03] [POOL] convex-finance | WETH-RETH | TVL $755,306.00 | APR 5.77% | Score 1.73
[2025-05-31 17:40:03] [POOL] raydium-amm | WSOL-MNSRY | TVL $755,200.00 | APR 8.47% | Score 2.54
[2025-05-31 17:40:03] [POOL] aave-v3 | EZETH | TVL $754,188.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] justlend | TUSD | TVL $753,552.00 | APR 2.37% | Score 0.71
[2025-05-31 17:40:03] [POOL] uniswap-v2 | KOMPETE-WETH | TVL $753,083.00 | APR 0.31% | Score 0.09
[2025-05-31 17:40:03] [POOL] uniswap-v2 | WETH-ШАЙЛУШАЙ | TVL $752,726.00 | APR 0.44% | Score 0.13
[2025-05-31 17:40:03] [POOL] crosscurve-(by-eywa) | SCRV-E-SCRV-AR-SCRV-BA-SCRV-O-SCRV-P-SCRV-G-SCRV-FR-SCRV-FT | TVL $752,108.00 | APR 25.84% | Score 7.75
[2025-05-31 17:40:03] [POOL] pendle | PWBTC | TVL $751,047.00 | APR 1.18% | Score 0.35
[2025-05-31 17:40:03] [POOL] pendle | PWBTC | TVL $751,047.00 | APR 0.92% | Score 0.28
[2025-05-31 17:40:03] [POOL] raydium-amm | HOSICO-WSOL | TVL $750,983.00 | APR 154.43% | Score 46.33
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-INJ | TVL $750,883.00 | APR 13.77% | Score 4.13
[2025-05-31 17:40:03] [POOL] aerodrome-v1 | WETH-OX | TVL $750,593.00 | APR 99.46% | Score 29.84
[2025-05-31 17:40:03] [POOL] beefy | WEETH-RETH | TVL $750,037.00 | APR 3.07% | Score 0.92
[2025-05-31 17:40:03] [POOL] uniswap-v2 | POOH-WETH | TVL $749,822.00 | APR 8.15% | Score 2.45
[2025-05-31 17:40:03] [POOL] yearn-finance | DEUSD-DOLA | TVL $749,633.00 | APR 11.31% | Score 3.39
[2025-05-31 17:40:03] [POOL] aerodrome-v1 | WETH-DEUS | TVL $749,206.00 | APR 26.03% | Score 7.81
[2025-05-31 17:40:03] [POOL] balancer-v2 | WETH-UNIETH | TVL $748,978.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] ramses-legacy | ALETH-FRXETH | TVL $748,038.00 | APR 0.21% | Score 0.06
[2025-05-31 17:40:03] [POOL] kamino-liquidity | JLP-JITOSOL | TVL $747,794.00 | APR 32.85% | Score 9.86
[2025-05-31 17:40:03] [POOL] balancer-v2 | EZETH-WSTETH | TVL $746,995.00 | APR 0.35% | Score 0.10
[2025-05-31 17:40:03] [POOL] merkl | WBTC-WETH | TVL $746,780.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] uniswap-v2 | $MONG-WETH | TVL $746,706.00 | APR 0.58% | Score 0.17
[2025-05-31 17:40:03] [POOL] orca | USDC-EURC | TVL $746,604.00 | APR 0.55% | Score 0.16
[2025-05-31 17:40:03] [POOL] moonwell-lending | WRSETH | TVL $746,386.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] uniswap-v2 | WETH-FROK | TVL $745,904.00 | APR 0.31% | Score 0.09
[2025-05-31 17:40:03] [POOL] curve-dex | EURA-EURT-EURS | TVL $745,656.00 | APR 3.88% | Score 1.16
[2025-05-31 17:40:03] [POOL] uniswap-v3 | OBOL-WETH | TVL $743,618.00 | APR 81.19% | Score 24.36
[2025-05-31 17:40:03] [POOL] prime-staked-eth | PRIMEETH | TVL $743,460.00 | APR 3.26% | Score 0.98
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-SURE | TVL $742,865.00 | APR 0.02% | Score 0.00
[2025-05-31 17:40:03] [POOL] meme-dollar | PINA | TVL $742,568.00 | APR 87.14% | Score 26.14
[2025-05-31 17:40:03] [POOL] stakedao | WETH-CVX | TVL $742,498.00 | APR 23.27% | Score 6.98
[2025-05-31 17:40:03] [POOL] spectra-v2 | SW-WSTKSCUSD | TVL $740,306.00 | APR 9.91% | Score 2.97
[2025-05-31 17:40:03] [POOL] spectra-v2 | SW-WSTKSCUSD | TVL $740,306.00 | APR 15.86% | Score 4.76
[2025-05-31 17:40:03] [POOL] pendle | AUSDC | TVL $740,066.00 | APR 3.38% | Score 1.02
[2025-05-31 17:40:03] [POOL] pendle | AUSDC | TVL $740,066.00 | APR 3.57% | Score 1.07
[2025-05-31 17:40:03] [POOL] raydium-amm | J-WSOL | TVL $739,527.00 | APR 5.36% | Score 1.61
[2025-05-31 17:40:03] [POOL] aerodrome-v1 | WETH-CHAMP | TVL $739,394.00 | APR 115.37% | Score 34.61
[2025-05-31 17:40:03] [POOL] uniswap-v2 | MOON-WETH | TVL $738,332.00 | APR 1.25% | Score 0.38
[2025-05-31 17:40:03] [POOL] balancer-v2 | AURA-WSTETH-BAL | TVL $738,304.00 | APR 1.06% | Score 0.32
[2025-05-31 17:40:03] [POOL] uniswap-v3 | 1R0R-WETH | TVL $738,189.00 | APR 4.07% | Score 1.22
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-BSDETH | TVL $737,960.00 | APR 0.02% | Score 0.01
[2025-05-31 17:40:03] [POOL] sushiswap | WETH-USDC | TVL $737,804.00 | APR 6.85% | Score 2.06
[2025-05-31 17:40:03] [POOL] sommelier | STETH-WSTETH-WETH | TVL $737,694.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] stakedao | CRVUSD-SUSDE | TVL $737,194.00 | APR 7.80% | Score 2.34
[2025-05-31 17:40:03] [POOL] balancer-v2 | WEETH-WETH | TVL $736,399.00 | APR 0.01% | Score 0.00
[2025-05-31 17:40:03] [POOL] raydium-amm | WSOL-VVAIFU | TVL $736,362.00 | APR 7.20% | Score 2.16
[2025-05-31 17:40:03] [POOL] orca | KMNO-JITOSOL | TVL $736,106.00 | APR 7.76% | Score 2.33
[2025-05-31 17:40:03] [POOL] curve-dex | LINK-SLINK | TVL $736,075.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] raydium-amm | SLOTH-WSOL | TVL $735,206.00 | APR 2.93% | Score 0.88
[2025-05-31 17:40:03] [POOL] uniswap-v2 | A1C-WETH | TVL $735,077.00 | APR 15.90% | Score 4.77
[2025-05-31 17:40:03] [POOL] uniswap-v2 | DG-USDC | TVL $735,050.00 | APR 0.84% | Score 0.25
[2025-05-31 17:40:03] [POOL] thalaswap | USDC-USDT | TVL $734,776.00 | APR 0.31% | Score 0.09
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $734,083.00 | APR 79.23% | Score 23.77
[2025-05-31 17:40:03] [POOL] uniswap-v3 | SSV-WETH | TVL $733,735.00 | APR 17.49% | Score 5.25
[2025-05-31 17:40:03] [POOL] aura | TBTC-T | TVL $733,597.00 | APR 1.19% | Score 0.36
[2025-05-31 17:40:03] [POOL] stakedao | WETH | TVL $733,408.00 | APR 2.30% | Score 0.69
[2025-05-31 17:40:03] [POOL] uniswap-v2 | MVL-WETH | TVL $733,260.00 | APR 1.18% | Score 0.35
[2025-05-31 17:40:03] [POOL] ellipsis-finance | BNBX-BNB | TVL $733,000.00 | APR 0.91% | Score 0.27
[2025-05-31 17:40:03] [POOL] superlend | WXTZ | TVL $732,957.00 | APR 39.83% | Score 11.95
[2025-05-31 17:40:03] [POOL] balancer-v2 | TBTC-T | TVL $732,164.00 | APR 1.11% | Score 0.33
[2025-05-31 17:40:03] [POOL] uniswap-v3 | ETH2X-FLI-WETH | TVL $731,877.00 | APR 1.48% | Score 0.44
[2025-05-31 17:40:03] [POOL] hyperdrive | STETH | TVL $731,332.00 | APR 3.40% | Score 1.02
[2025-05-31 17:40:03] [POOL] balancer-v2 | WETH-RETH | TVL $730,738.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] curve-dex | FRXUSD-USDC | TVL $730,475.00 | APR 6.83% | Score 2.05
[2025-05-31 17:40:03] [POOL] morpho-blue | USD0++ | TVL $730,378.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] morpho-blue | GTSUSDSC | TVL $730,066.00 | APR 0.03% | Score 0.01
[2025-05-31 17:40:03] [POOL] stakedao | OETH-WETH | TVL $729,922.00 | APR 3.67% | Score 1.10
[2025-05-31 17:40:03] [POOL] orca | SOL-POPCAT | TVL $729,887.00 | APR 80.57% | Score 24.17
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $727,291.00 | APR 61.41% | Score 18.42
[2025-05-31 17:40:03] [POOL] morpho-blue | MSOLVBTCBBN | TVL $726,857.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] flamingo-finance | FLM-FUSD | TVL $726,442.00 | APR 27.29% | Score 8.19
[2025-05-31 17:40:03] [POOL] uniswap-v2 | KOO-WETH | TVL $726,268.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] flat-money | UNIT | TVL $726,266.00 | APR 36.76% | Score 11.03
[2025-05-31 17:40:03] [POOL] curve-llamalend | CRVUSD-SFRXUSD | TVL $726,247.00 | APR 8.01% | Score 2.40
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $725,905.00 | APR 68.12% | Score 20.44
[2025-05-31 17:40:03] [POOL] evaa-protocol | USDT-STORM | TVL $725,854.00 | APR 0.10% | Score 0.03
[2025-05-31 17:40:03] [POOL] berapaw | KODINECT-USD₮0 | TVL $725,686.00 | APR 24.41% | Score 7.32
[2025-05-31 17:40:03] [POOL] segment-finance | WBTC | TVL $725,513.00 | APR 0.67% | Score 0.20
[2025-05-31 17:40:03] [POOL] raydium-amm | WSOL-BMT | TVL $725,191.00 | APR 36.72% | Score 11.02
[2025-05-31 17:40:03] [POOL] abracadabra-spell | ETH-ETH | TVL $724,831.00 | APR 2.84% | Score 0.85
[2025-05-31 17:40:03] [POOL] raydium-amm | AIXBT-WSOL | TVL $724,811.00 | APR 59.28% | Score 17.78
[2025-05-31 17:40:03] [POOL] raydium-amm | WSOL-ITALIANROT | TVL $723,935.00 | APR 126.48% | Score 37.94
[2025-05-31 17:40:03] [POOL] beefy | CBBTC-USDC | TVL $723,819.00 | APR 37.09% | Score 11.13
[2025-05-31 17:40:03] [POOL] uniswap-v3 | ZRO-WETH | TVL $723,325.00 | APR 8.41% | Score 2.52
[2025-05-31 17:40:03] [POOL] aave-v2 | USDT.E | TVL $722,604.00 | APR 0.44% | Score 0.13
[2025-05-31 17:40:03] [POOL] raydium-amm | SOPH-WSOL | TVL $722,326.00 | APR 67.77% | Score 20.33
[2025-05-31 17:40:03] [POOL] raydium-amm | HUMA-WSOL | TVL $721,965.00 | APR 63.04% | Score 18.91
[2025-05-31 17:40:03] [POOL] balancer-v2 | STEUR-EURE | TVL $721,497.00 | APR 0.02% | Score 0.01
[2025-05-31 17:40:03] [POOL] minswap | ADA-IBTC | TVL $721,245.00 | APR 15.89% | Score 4.77
[2025-05-31 17:40:03] [POOL] raydium-amm | SOPH-WSOL | TVL $720,578.00 | APR 59.84% | Score 17.95
[2025-05-31 17:40:03] [POOL] velodrome-v2 | ALETH-FRXETH | TVL $720,161.00 | APR 0.87% | Score 0.26
[2025-05-31 17:40:03] [POOL] uniswap-v2 | X2Y2-WETH | TVL $719,352.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] frax | FRAX-WETH | TVL $719,271.00 | APR 2.69% | Score 0.81
[2025-05-31 17:40:03] [POOL] defichain-dex | MSTR-DUSD | TVL $718,874.00 | APR 0.86% | Score 0.26
[2025-05-31 17:40:03] [POOL] minswap | ADA-INDY | TVL $718,821.00 | APR 19.76% | Score 5.93
[2025-05-31 17:40:03] [POOL] balancer-v2 | WETH-AURA | TVL $718,729.00 | APR 0.26% | Score 0.08
[2025-05-31 17:40:03] [POOL] fraxlend | WETH | TVL $718,662.00 | APR 3.73% | Score 1.12
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $718,614.00 | APR 62.62% | Score 18.79
[2025-05-31 17:40:03] [POOL] pancakeswap-amm-v3 | USDT-USDT | TVL $718,330.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] uniswap-v3 | ETH-XVS | TVL $718,235.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] morpho-blue | STEAKETH | TVL $718,147.00 | APR 2.29% | Score 0.69
[2025-05-31 17:40:03] [POOL] merkl | VSCUSD-CORE-SCUSD | TVL $718,017.00 | APR 4.38% | Score 1.31
[2025-05-31 17:40:03] [POOL] raydium-amm | SOPH-WSOL | TVL $717,844.00 | APR 45.79% | Score 13.74
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WVTRS-USDC | TVL $717,807.00 | APR 0.04% | Score 0.01
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $717,701.00 | APR 81.32% | Score 24.40
[2025-05-31 17:40:03] [POOL] polynomial-liquidity | SUSDE | TVL $717,566.00 | APR 14.91% | Score 4.47
[2025-05-31 17:40:03] [POOL] curve-dex | FRXUSD-DAI | TVL $717,255.00 | APR 10.16% | Score 3.05
[2025-05-31 17:40:03] [POOL] beefy | CVXCRV-CRV | TVL $717,174.00 | APR 21.26% | Score 6.38
[2025-05-31 17:40:03] [POOL] berapaw | KODIWETH-STONE | TVL $716,832.00 | APR 14.01% | Score 4.20
[2025-05-31 17:40:03] [POOL] osmosis-dex | USDC-INJ | TVL $716,365.00 | APR 0.20% | Score 0.06
[2025-05-31 17:40:03] [POOL] beefy | WETH-USDC | TVL $716,130.00 | APR 52.11% | Score 15.63
[2025-05-31 17:40:03] [POOL] curve-dex | WFRAX-CVXFXS | TVL $715,625.00 | APR 11.71% | Score 3.51
[2025-05-31 17:40:03] [POOL] curve-dex | CRV-CVXCRV | TVL $715,516.00 | APR 1.55% | Score 0.47
[2025-05-31 17:40:03] [POOL] euler-v2 | WETH | TVL $715,424.00 | APR 4.76% | Score 1.43
[2025-05-31 17:40:03] [POOL] uniswap-v2 | WETH-NNN | TVL $714,656.00 | APR 2.43% | Score 0.73
[2025-05-31 17:40:03] [POOL] uniswap-v3 | USDT-SXT | TVL $714,304.00 | APR 53.94% | Score 16.18
[2025-05-31 17:40:03] [POOL] uniswap-v3 | FPPUNKS-WETH | TVL $714,076.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] camelot-v3 | USDE-USDC | TVL $713,465.00 | APR 3.77% | Score 1.13
[2025-05-31 17:40:03] [POOL] uniswap-v3 | MUBI-WETH | TVL $712,237.00 | APR 2.62% | Score 0.79
[2025-05-31 17:40:03] [POOL] raydium-amm | SOPH-WSOL | TVL $712,157.00 | APR 45.74% | Score 13.72
[2025-05-31 17:40:03] [POOL] uniswap-v3 | EAI-WETH | TVL $710,458.00 | APR 0.86% | Score 0.26
[2025-05-31 17:40:03] [POOL] nostra-money-market | USDT | TVL $710,417.00 | APR 7.16% | Score 2.15
[2025-05-31 17:40:03] [POOL] raydium-amm | HUMA-WSOL | TVL $710,092.00 | APR 64.94% | Score 19.48
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-CBBTC | TVL $709,769.00 | APR 22.08% | Score 6.62
[2025-05-31 17:40:03] [POOL] uniswap-v2 | WETH-PATRIOT | TVL $709,715.00 | APR 11.57% | Score 3.47
[2025-05-31 17:40:03] [POOL] balancer-v2 | COW-GNO | TVL $709,479.00 | APR 4.41% | Score 1.32
[2025-05-31 17:40:03] [POOL] vvs-standard | WCRO-AGENTFUN | TVL $709,373.00 | APR 1.74% | Score 0.52
[2025-05-31 17:40:03] [POOL] merkl | WPOL | TVL $709,325.00 | APR 10.39% | Score 3.12
[2025-05-31 17:40:03] [POOL] convex-finance | WETH-ASF | TVL $708,967.00 | APR 162.03% | Score 48.61
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $708,579.00 | APR 66.03% | Score 19.81
[2025-05-31 17:40:03] [POOL] angle | 3EURLP | TVL $708,538.00 | APR 6.65% | Score 1.99
[2025-05-31 17:40:03] [POOL] uniswap-v2 | TKX-USDT | TVL $708,490.00 | APR 3.16% | Score 0.95
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-RSC | TVL $708,232.00 | APR 36.24% | Score 10.87
[2025-05-31 17:40:03] [POOL] aura | GNO-OSGNO | TVL $707,981.00 | APR 6.03% | Score 1.81
[2025-05-31 17:40:03] [POOL] raydium-amm | NYAN-WSOL | TVL $707,859.00 | APR 14.14% | Score 4.24
[2025-05-31 17:40:03] [POOL] gamma | WBTC-WETH | TVL $707,774.00 | APR 94.47% | Score 28.34
[2025-05-31 17:40:03] [POOL] symbiosis | USDC | TVL $706,454.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] raydium-amm | KOKOK-WSOL | TVL $706,441.00 | APR 87.21% | Score 26.16
[2025-05-31 17:40:03] [POOL] convex-finance | OGN-OUSD-OETH | TVL $706,376.00 | APR 31.97% | Score 9.59
[2025-05-31 17:40:03] [POOL] aerodrome-slipstream | WEETH-WETH | TVL $706,341.00 | APR 1.02% | Score 0.31
[2025-05-31 17:40:03] [POOL] raydium-amm | HUMA-WSOL | TVL $705,740.00 | APR 63.52% | Score 19.06
[2025-05-31 17:40:03] [POOL] morpho-blue | PT-SLVLUSD-25SEP2025 | TVL $705,731.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] raydium-amm | BNSOL-WSOL | TVL $705,079.00 | APR 0.07% | Score 0.02
[2025-05-31 17:40:03] [POOL] beefy | USDC | TVL $705,042.00 | APR 6.44% | Score 1.93
[2025-05-31 17:40:03] [POOL] uniswap-v3 | WETH-XBG | TVL $704,803.00 | APR 8.01% | Score 2.40
[2025-05-31 17:40:03] [POOL] the-standard | WBTC-WETH | TVL $704,459.00 | APR 94.46% | Score 28.34
[2025-05-31 17:40:03] [POOL] raydium-amm | HUMA-WSOL | TVL $704,239.00 | APR 63.69% | Score 19.11
[2025-05-31 17:40:03] [POOL] arcadia-v2 | WETH | TVL $703,986.00 | APR 4.24% | Score 1.27
[2025-05-31 17:40:03] [POOL] euler-v2 | WBERA | TVL $703,516.00 | APR 29.30% | Score 8.79
[2025-05-31 17:40:03] [POOL] raydium-amm | BOTIFY-WSOL | TVL $703,329.00 | APR 132.97% | Score 39.89
[2025-05-31 17:40:03] [POOL] uniswap-v3 | USD0-USDC | TVL $703,305.00 | APR 22.95% | Score 6.88
[2025-05-31 17:40:03] [POOL] synapse | NUSD-USDC-USD₮0 | TVL $703,106.00 | APR 6.92% | Score 2.08
[2025-05-31 17:40:03] [POOL] aerodrome-v1 | CBBTC-CHAMP | TVL $701,860.00 | APR 128.77% | Score 38.63
[2025-05-31 17:40:03] [POOL] yearn-finance | CRVUSD | TVL $701,060.00 | APR 6.11% | Score 1.83
[2025-05-31 17:40:03] [POOL] yearn-finance | EUSDUSDC | TVL $701,040.00 | APR 13.61% | Score 4.08
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $700,650.00 | APR 64.22% | Score 19.27
[2025-05-31 17:40:03] [POOL] morpho-blue | VBGTUSDT | TVL $700,478.00 | APR 4.64% | Score 1.39
[2025-05-31 17:40:03] [POOL] orca | USDC-USDC | TVL $700,088.00 | APR 0.01% | Score 0.00
[2025-05-31 17:40:03] [POOL] opyn-squeeth | USDC | TVL $699,756.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] raydium-amm | TRUTH-WSOL | TVL $699,630.00 | APR 106.48% | Score 31.94
[2025-05-31 17:40:03] [POOL] merkl | WBTC-WETH | TVL $698,808.00 | APR 14.79% | Score 4.44
[2025-05-31 17:40:03] [POOL] raydium-amm | WLFI-WSOL | TVL $698,783.00 | APR 67.57% | Score 20.27
[2025-05-31 17:40:03] [POOL] raydium-amm | HUMA-WSOL | TVL $698,619.00 | APR 63.83% | Score 19.15
[2025-05-31 17:40:03] [POOL] uniswap-v2 | SHKOOBY-WETH | TVL $698,609.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] compound-v3 | USDT | TVL $697,949.00 | APR 4.55% | Score 1.37
[2025-05-31 17:40:03] [POOL] morpho-blue | CBETH | TVL $697,843.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] uniswap-v3 | DAI-USDT | TVL $697,376.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] raydium-amm | HARAMBE-WSOL | TVL $697,220.00 | APR 13.59% | Score 4.08
[2025-05-31 17:40:03] [POOL] beefy | MSUSD-USDC | TVL $695,379.00 | APR 11.51% | Score 3.45
[2025-05-31 17:40:03] [POOL] woofi-earn | USDC | TVL $694,874.00 | APR 8.29% | Score 2.49
[2025-05-31 17:40:03] [POOL] uniswap-v2 | WETH-$MFER | TVL $694,778.00 | APR 3.58% | Score 1.07
[2025-05-31 17:40:03] [POOL] curve-dex | COIL-FRAXBP | TVL $693,947.00 | APR 56.20% | Score 16.86
[2025-05-31 17:40:03] [POOL] morpho-aave | USDC | TVL $693,849.00 | APR 4.14% | Score 1.24
[2025-05-31 17:40:03] [POOL] curve-dex | CRVUSD-FRXUSD | TVL $693,321.00 | APR 5.26% | Score 1.58
[2025-05-31 17:40:03] [POOL] convex-finance | WETH-SDT | TVL $693,108.00 | APR 38.35% | Score 11.50
[2025-05-31 17:40:03] [POOL] uniswap-v2 | QF-WETH | TVL $692,195.00 | APR 10.07% | Score 3.02
[2025-05-31 17:40:03] [POOL] uniswap-v3 | PIRATE-WETH | TVL $691,309.00 | APR 22.21% | Score 6.66
[2025-05-31 17:40:03] [POOL] uniswap-v3 | AAVE-USDC | TVL $690,869.00 | APR 66.76% | Score 20.03
[2025-05-31 17:40:03] [POOL] hatom-lending | USDC | TVL $690,073.00 | APR 3.31% | Score 0.99
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 1.20% | Score 0.36
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 1.00% | Score 0.30
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 0.04% | Score 0.01
[2025-05-31 17:40:03] [POOL] exactly | WBTC | TVL $689,884.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] uniswap-v2 | WETH-SOLX | TVL $689,793.00 | APR 0.02% | Score 0.01
[2025-05-31 17:40:03] [POOL] synapse | NUSD-BUSD-USDC-USDT | TVL $687,929.00 | APR 5.89% | Score 1.77
[2025-05-31 17:40:03] [POOL] harvest-finance | ETH | TVL $686,734.00 | APR 3.35% | Score 1.01
[2025-05-31 17:40:03] [POOL] synapse | NETH-WETH | TVL $686,360.00 | APR 4.72% | Score 1.42
[2025-05-31 17:40:03] [POOL] joe-v2.1 | WBTC.E-BTC.B | TVL $686,211.00 | APR 0.00% | Score 0.00
[2025-05-31 17:40:03] [POOL] velodrome-v2 | USDC-MSUSD | TVL $686,146.00 | APR 12.85% | Score 3.85
[2025-05-31 17:40:03] [POOL] raft | R | TVL $685,381.00 | APR 10.00% | Score 3.00
[2025-05-31 17:40:03] [POOL] curve-dex | MSETH-FRXETH | TVL $685,047.00 | APR 1.23% | Score 0.37
[2025-05-31 17:40:03] [POOL] convex-finance | MSETH-FRXETH | TVL $684,888.00 | APR 4.18% | Score 1.25
[2025-05-31 17:40:03] [POOL] berapaw | KODIDOLO-WBERA | TVL $684,233.00 | APR 18.73% | Score 5.62
[2025-05-31 17:40:03] [POOL] uniswap-v3 | DMT-WETH | TVL $683,414.00 | APR 2.22% | Score 0.67
[2025-05-31 17:40:03] [POOL] osmosis-dex | USDC-NIL | TVL $683,353.00 | APR 1.25% | Score 0.37
